"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2023-08-21","10_03_20","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\August\21\Screenshot\10_03_20_SC_04.png"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2023-08-21","10_03_23","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\August\21\Screenshot\10_03_23_SC_09.png"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2023-08-21","10_03_54","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\August\21\Screenshot\10_03_54_SC_16.png"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2023-08-21","10_04_36","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\August\21\Screenshot\10_04_36_SC_29.png"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","true","PASS","2023-08-21","10_04_50","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\August\21\Screenshot\10_04_50_SC_37.png"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
