"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2023-12-27","20_06_03","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\27\Screenshot\20_06_03_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2023-12-27","20_06_06","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\27\Screenshot\20_06_06_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","true","PASS","2023-12-27","20_06_50","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\27\Screenshot\20_06_50_SC_37.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
